date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:01:45	105547/105547	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Nov%202025%2022:11:02%20GMT	https://www.uxpert.com/	/Users/sait/Desktop/uxpert_full/www.uxpert.com/index.html	(from )
18:01:45	313441/313441	---M-Z	200	added ('OK')	text/css	etag:%22691caab8-b472%22	https://www.uxpert.com/wp-content/cache/min/1/wp-content/themes/uxpert/style.css?ver=1763486392	/Users/sait/Desktop/uxpert_full/www.uxpert.com/wp-content/cache/min/1/wp-content/themes/uxpert/styledc96.css	(from https://www.uxpert.com/)
18:01:46	18472/18472	---MCZ	403	error ('Forbidden')	text/html	etag:W/%2267bb28f2-4828%22	https://www.uxpert.com/xmlrpc.php	/Users/sait/Desktop/uxpert_full/www.uxpert.com/xmlrpc.php	(from https://www.uxpert.com/)
18:01:48	64442/64442	---MCZ	200	added ('OK')	text/css	etag:W/%225f340e92-fbba%22	https://www.uxpert.com/wp-content/plugins/loftloader-pro/assets/css/loftloader.min.css?ver=2020072001	/Users/sait/Desktop/uxpert_full/www.uxpert.com/wp-content/plugins/loftloader-pro/assets/css/loftloader.min3195.css	(from https://www.uxpert.com/)
18:01:49	116345/116345	---MCZ	200	added ('OK')	text/css	etag:W/%226876b729-1c679%22	https://www.uxpert.com/wp-includes/css/dist/block-library/style.min.css?ver=6.8.3	/Users/sait/Desktop/uxpert_full/www.uxpert.com/wp-includes/css/dist/block-library/style.min32d4.css	(from https://www.uxpert.com/)
18:01:49	2413/2413	---M-Z	200	added ('OK')	text/css	etag:%22691caab8-38c%22	https://www.uxpert.com/wp-content/cache/min/1/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=1763486392	/Users/sait/Desktop/uxpert_full/www.uxpert.com/wp-content/cache/min/1/wp-content/plugins/contact-form-7/includes/css/stylesdc96.css	(from https://www.uxpert.com/)
18:01:50	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2022%20Nov%202025%2015:01:49%20GMT	https://www.uxpert.com/?lang=he	/Users/sait/Desktop/uxpert_full/www.uxpert.com/index64f4.html	(from https://www.uxpert.com/)
18:01:51	26477/26477	---MCZ	200	added ('OK')	text/css	etag:W/%22691c8004-676d%22	https://www.uxpert.com/wp-content/plugins/wp-ulike/assets/css/wp-ulike.min.css?ver=4.7.11	/Users/sait/Desktop/uxpert_full/www.uxpert.com/wp-content/plugins/wp-ulike/assets/css/wp-ulike.min4f4a.css	(from https://www.uxpert.com/)
18:01:52	1604/1604	---MCZ	200	added ('OK')	text/css	etag:W/%22691c801f-644%22	https://www.uxpert.com/wp-content/plugins/add-to-any/addtoany.min.css?ver=1.16	/Users/sait/Desktop/uxpert_full/www.uxpert.com/wp-content/plugins/add-to-any/addtoany.mind47c.css	(from https://www.uxpert.com/)
18:01:52	256/256	---M-Z	200	added ('OK')	application/javascript	etag:%22691caab8-aa%22	https://www.uxpert.com/wp-content/cache/min/1/wp-content/plugins/sitepress-multilingual-cms/res/js/cookies/language-cookie.js?ver=1763486392	/Users/sait/Desktop/uxpert_full/www.uxpert.com/wp-content/cache/min/1/wp-content/plugins/sitepress-multilingual-cms/res/js/cookies/language-cookiedc96.js	(from https://www.uxpert.com/)
